ip,https_token,prefix_suffix,shortening_service,domain_in_brand,suspicious_tld,statistical_report,length_url,length_hostname,nb_dots,nb_hyphens,nb_qm,nb_and,nb_eq,nb_underscore,nb_slash,nb_www,nb_com,ratio_digits_url,ratio_digits_host,nb_subdomains,nb_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,status
0,1,1,0,0,0,0,54,14,1,1,0,0,0,0,7,0,0,0.092592593,0.0,1,1,6,3,4,10,4,10,10,7,6.166666667,10.0,5.4,0,legitimate
0,0,0,0,0,0,0,20,11,2,0,0,0,0,0,3,0,0,0.0,0.0,2,0,1,0,4,4,0,4,4,0,4.0,4.0,0.0,0,legitimate
0,1,0,0,0,0,0,21,13,2,0,0,0,0,0,3,1,0,0.0,0.0,2,1,2,3,3,3,0,6,6,0,4.5,4.5,0.0,0,legitimate
0,1,0,0,0,1,0,16,9,1,0,0,0,0,0,2,0,0,0.0,0.0,1,0,1,0,5,5,0,5,5,0,5.0,5.0,0.0,0,legitimate
0,0,0,0,0,1,0,34,14,2,0,0,0,0,0,4,0,0,0.088235294,0.071428571,2,0,3,1,3,3,10,10,5,10,6.0,4.0,10.0,0,phishing
0,1,0,0,0,0,0,87,18,7,0,0,0,0,0,9,1,0,0.011494253,0.0,3,0,13,3,2,3,2,8,8,8,4.769230769,5.5,4.636363636,0,phishing
1,1,1,0,0,0,0,125,50,4,1,1,2,3,2,5,0,1,0.184,0.0,3,0,12,4,2,3,2,17,13,17,8.25,8.4,8.142857143,0,phishing
0,0,0,0,1,0,0,206,17,6,0,1,10,11,1,3,2,1,0.063106796,0.0,3,0,32,12,1,3,1,34,6,34,4.96875,4.5,5.0,0,phishing
0,1,0,0,0,0,0,67,19,3,0,0,0,0,0,5,0,0,0.059701493,0.0,3,0,5,0,3,12,3,14,12,14,9.8,12.0,9.25,1,phishing
0,1,0,0,0,0,0,36,28,2,0,0,0,0,0,3,1,0,0.055555556,0.071428571,2,0,2,3,3,3,0,20,20,0,11.5,11.5,0.0,0,phishing
0,1,1,0,0,0,0,60,23,2,1,0,0,0,0,7,1,0,0.0,0.0,2,2,7,3,2,3,2,15,15,8,6.0,9.0,4.8,3,phishing
0,0,0,0,1,0,0,22,13,2,0,0,0,0,0,3,0,0,0.0,0.0,2,1,1,1,6,6,0,6,6,0,6.0,6.0,0.0,0,legitimate
1,1,0,0,0,0,0,83,15,2,7,0,0,0,0,3,0,0,0.13253012,0.066666667,2,1,10,4,2,3,2,10,7,10,6.3,5.0,6.625,0,legitimate
1,0,0,0,1,0,0,61,21,2,0,1,1,2,0,4,0,0,0.147540984,0.0,2,1,8,2,1,5,1,11,11,7,5.25,8.0,4.333333333,0,legitimate
0,0,0,0,0,0,0,26,17,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,4,3,3,0,9,9,0,6.0,6.0,0.0,0,legitimate
0,0,0,0,0,0,0,77,20,3,2,0,0,0,0,7,0,1,0.012987013,0.0,3,0,10,2,2,16,2,16,16,7,5.6,16.0,4.444444444,1,phishing
0,1,0,0,0,0,0,23,13,2,0,0,0,0,0,3,0,0,0.0,0.0,2,1,3,0,2,3,2,6,6,2,3.666666667,4.5,2.0,0,phishing
1,0,0,0,0,0,0,96,14,2,11,0,0,0,0,5,1,0,0.135416667,0.0,2,0,16,4,1,3,1,11,6,11,4.3125,4.5,4.285714286,0,legitimate
1,1,0,0,0,0,2,39,14,4,0,0,0,0,0,3,0,0,0.282051282,0.785714286,3,0,10,2,2,2,2,12,3,12,3.8,2.75,4.5,0,phishing
1,1,1,0,0,0,0,131,54,5,1,1,2,3,2,5,1,1,0.122137405,0.0,3,0,14,5,2,3,2,17,13,17,7.428571429,7.5,7.375,0,phishing
0,0,0,0,0,0,0,55,19,1,3,0,0,0,0,4,0,0,0.0,0.0,1,0,5,1,5,15,5,15,15,7,7.6,15.0,5.75,0,legitimate
0,1,0,0,0,0,0,19,11,2,0,0,0,0,0,3,0,0,0.157894737,0.272727273,2,0,2,0,1,1,0,5,5,0,3.0,3.0,0.0,0,phishing
0,0,0,0,0,0,0,47,20,3,0,0,0,0,0,5,1,1,0.0,0.0,3,0,6,3,1,3,1,12,12,6,5.0,7.5,3.75,0,legitimate
0,0,1,0,0,0,0,64,16,2,1,0,0,0,0,7,0,0,0.0,0.0,2,0,8,1,2,12,2,12,12,7,5.625,12.0,4.714285714,3,phishing
0,1,0,0,0,0,0,71,25,3,0,0,0,0,0,6,1,0,0.0,0.0,3,0,7,4,2,3,2,18,18,12,7.857142857,10.5,6.8,0,phishing
0,0,1,0,0,0,0,61,10,3,1,0,0,0,0,7,0,0,0.0,0.0,3,0,8,0,2,3,2,9,3,9,4.875,3.0,5.142857143,2,phishing
1,0,1,1,1,0,0,54,18,3,1,0,0,0,0,5,0,0,0.111111111,0.0,3,1,7,1,2,4,2,9,9,8,5.142857143,6.5,4.6,0,legitimate
0,0,0,0,0,0,0,20,11,1,0,0,0,0,0,3,0,0,0.0,0.0,1,1,1,1,7,7,0,7,7,0,7.0,7.0,0.0,0,legitimate
0,0,0,1,1,0,0,37,28,2,0,0,0,0,0,3,0,0,0.108108108,0.142857143,2,0,2,0,8,8,0,15,15,0,11.5,11.5,0.0,0,phishing
0,0,0,0,0,0,0,23,14,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,3,3,3,0,7,7,0,5.0,5.0,0.0,0,legitimate
0,0,0,0,0,0,0,35,26,2,2,0,0,0,0,3,1,0,0.0,0.0,2,0,4,4,3,3,0,6,6,0,4.75,4.75,0.0,0,legitimate
0,0,1,0,0,0,2,32,23,3,1,0,0,0,0,3,0,1,0.0,0.0,3,2,4,2,2,2,0,7,7,0,4.25,4.25,0.0,0,phishing
0,1,0,0,0,0,0,28,14,2,0,0,0,0,0,4,0,0,0.0,0.0,2,0,2,0,5,7,5,7,7,5,6.0,7.0,5.0,0,phishing
0,1,1,1,0,0,0,59,18,2,2,0,0,0,0,5,1,0,0.0,0.0,2,2,7,3,3,3,5,10,10,7,6.0,6.5,5.8,0,legitimate
1,1,0,0,0,0,0,67,23,3,0,0,0,0,0,7,0,0,0.179104478,0.0,3,0,5,10,5,17,5,17,17,14,9.6,17.0,7.75,2,phishing
0,1,1,0,0,0,0,35,22,2,1,0,0,0,0,3,0,0,0.028571429,0.045454545,2,0,4,0,1,3,1,14,14,3,5.25,8.5,2.0,0,phishing
0,1,0,0,0,0,0,33,25,2,0,0,0,0,0,3,1,0,0.0,0.0,2,3,2,5,3,3,0,17,17,0,10.0,10.0,0.0,0,legitimate
1,1,0,0,0,0,0,105,15,2,0,0,0,1,0,5,1,0,0.266666667,0.0,2,2,4,3,3,3,4,75,7,75,22.25,5.0,39.5,0,phishing
1,1,0,0,0,0,0,121,53,8,3,1,0,1,0,4,0,0,0.198347107,0.094339623,3,1,15,3,2,2,2,32,7,32,6.466666667,4.666666667,9.166666667,1,phishing
0,1,0,0,0,0,0,23,16,2,0,0,0,0,0,2,0,0,0.0,0.0,2,0,1,0,10,10,0,10,10,0,10.0,10.0,0.0,0,legitimate
1,1,0,1,0,0,0,46,28,4,1,0,0,0,0,3,0,0,0.195652174,0.321428571,3,0,6,1,1,1,2,11,11,7,5.0,5.25,4.5,2,phishing
0,0,0,1,0,0,0,72,40,4,2,0,0,0,0,6,0,0,0.083333333,0.15,3,0,10,4,1,1,1,9,9,9,5.0,5.166666667,4.75,1,phishing
1,0,1,0,0,0,0,242,17,2,3,0,0,0,0,23,0,0,0.107438017,0.0,2,1,24,4,2,10,2,26,10,26,8.458333333,10.0,8.391304348,3,phishing
0,1,0,0,0,0,0,23,10,1,0,0,0,0,0,3,0,0,0.0,0.0,1,2,2,0,5,7,5,7,7,5,6.0,7.0,5.0,1,phishing
0,0,0,1,0,0,0,55,14,2,0,0,0,0,0,6,0,0,0.0,0.0,2,0,6,0,3,10,3,10,10,9,6.333333333,10.0,5.6,0,phishing
1,1,0,0,0,0,0,68,42,4,0,0,0,0,0,4,0,1,0.191176471,0.0,3,1,6,2,2,3,2,15,13,15,8.666666667,8.75,8.5,0,phishing
0,1,0,0,0,0,0,38,17,2,0,0,0,0,0,5,1,0,0.0,0.0,2,1,4,5,3,3,5,10,10,6,6.0,6.5,5.5,0,legitimate
0,1,1,0,0,0,0,46,17,2,1,0,0,0,0,4,1,0,0.0,0.0,2,0,4,3,3,3,8,11,9,11,7.75,6.0,9.5,0,legitimate
0,0,0,0,0,0,0,29,20,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,3,3,3,0,12,12,0,7.5,7.5,0.0,0,legitimate
1,1,0,0,0,0,2,21,13,3,0,0,0,0,0,3,0,0,0.476190476,0.769230769,3,1,8,0,1,1,1,3,3,3,2.5,2.5,2.5,0,phishing
0,1,0,0,0,0,0,38,30,5,0,0,0,0,0,3,0,0,0.0,0.0,3,1,5,1,2,2,0,8,8,0,4.4,4.4,0.0,0,phishing
0,0,0,0,0,0,0,124,18,3,8,0,0,0,0,7,0,0,0.0,0.0,3,1,16,0,2,6,2,12,7,12,6.0625,6.5,6.0,0,legitimate
0,1,0,0,0,0,0,33,16,1,0,0,0,0,0,4,0,0,0.0,0.0,1,1,3,2,3,13,3,13,13,5,7.0,13.0,4.0,0,phishing
0,1,1,0,0,0,0,34,15,2,1,0,0,0,0,4,1,0,0.0,0.0,2,1,4,4,3,3,4,8,8,5,5.0,5.5,4.5,0,legitimate
0,0,0,0,0,0,0,33,24,3,0,0,0,0,0,3,1,0,0.0,0.0,3,0,2,3,3,3,0,13,13,0,8.0,8.0,0.0,0,legitimate
0,0,0,0,0,0,0,57,7,1,3,1,0,1,1,4,0,0,0.140350877,0.142857143,1,1,8,0,1,4,1,15,4,15,4.75,4.0,4.857142857,0,phishing
0,1,0,0,0,0,0,49,21,3,0,0,0,0,0,4,1,0,0.081632653,0.0,3,0,5,3,3,3,4,13,13,10,6.8,8.0,6.0,0,legitimate
0,1,0,0,0,0,0,74,7,1,6,0,0,0,0,4,0,0,0.0,0.0,1,1,9,1,3,4,3,12,4,12,6.222222222,4.0,6.5,0,legitimate
0,1,0,0,0,0,0,26,18,2,0,0,0,0,0,3,0,0,0.0,0.0,2,1,2,1,5,5,0,8,8,0,6.5,6.5,0.0,1,phishing
0,1,0,0,0,0,0,63,14,1,4,0,0,0,0,5,0,0,0.0,0.0,1,1,7,0,3,11,3,11,11,8,6.571428571,11.0,5.833333333,0,legitimate
0,0,0,1,1,0,0,32,23,2,0,0,0,0,0,3,0,0,0.09375,0.130434783,2,0,2,1,8,8,0,10,10,0,9.0,9.0,0.0,0,phishing
0,1,0,0,0,0,0,60,22,3,6,0,0,0,0,3,1,0,0.0,0.0,3,1,10,3,3,3,3,7,4,7,4.0,3.75,4.166666667,0,legitimate
0,1,0,0,0,0,0,59,23,4,0,0,0,0,0,5,0,0,0.0,0.0,3,1,7,1,4,4,4,9,8,9,6.0,5.666666667,6.25,0,legitimate
1,1,0,0,0,0,0,73,16,5,0,1,0,1,0,7,1,0,0.123287671,0.0,3,0,11,6,1,3,1,9,8,9,4.545454545,5.5,4.333333333,0,phishing
0,1,1,0,0,0,0,28,20,1,1,0,0,0,0,3,0,0,0.0,0.0,1,2,2,0,6,6,0,9,9,0,7.5,7.5,0.0,0,phishing
0,0,0,0,0,0,0,32,16,2,0,0,0,0,0,4,1,0,0.0,0.0,2,0,3,4,3,3,6,8,8,6,5.666666667,5.5,6.0,0,legitimate
0,1,0,1,0,0,0,34,17,2,0,0,0,0,0,4,1,0,0.0,0.0,2,1,3,4,3,3,8,9,9,8,6.666666667,6.0,8.0,0,legitimate
0,1,0,0,0,0,0,20,13,2,0,0,0,0,0,2,0,0,0.0,0.0,2,0,1,0,6,6,0,6,6,0,6.0,6.0,0.0,0,legitimate
0,1,0,1,1,0,0,36,28,2,0,0,0,0,0,3,0,0,0.0,0.0,2,0,2,0,8,8,0,15,15,0,11.5,11.5,0.0,0,legitimate
0,0,0,0,1,0,0,59,15,2,0,0,0,0,0,5,0,0,0.033898305,0.0,2,1,5,4,4,4,5,17,6,17,8.6,5.0,11.0,0,legitimate
0,1,1,0,0,0,0,40,17,1,1,0,0,0,0,5,0,0,0.0,0.0,1,1,4,0,2,13,2,13,13,8,6.25,13.0,4.0,3,phishing
0,0,0,0,0,0,0,39,18,2,0,0,0,0,0,4,0,0,0.051282051,0.0,2,1,4,0,2,5,2,9,8,9,6.0,6.5,5.5,0,legitimate
0,1,0,0,0,0,0,80,17,3,5,0,0,0,0,4,1,0,0.0625,0.0,3,1,10,7,2,3,2,13,9,13,6.0,6.0,6.0,0,legitimate
0,1,0,0,0,0,0,55,36,5,0,0,0,0,0,3,0,0,0.0,0.0,3,1,6,1,5,6,5,10,10,5,6.5,7.25,5.0,1,phishing
1,1,0,0,0,0,2,40,13,4,0,1,0,1,0,4,0,0,0.25,0.769230769,3,1,14,2,1,2,1,6,3,6,2.428571429,2.5,2.4,1,phishing
0,1,0,0,0,0,0,63,17,2,4,0,0,0,0,5,1,0,0.0,0.0,2,1,8,3,3,3,3,9,9,8,5.5,6.0,5.333333333,0,legitimate
0,1,0,0,0,0,1,47,29,2,0,0,0,0,0,4,1,0,0.0,0.0,2,0,3,6,3,3,9,21,21,9,11.0,12.0,9.0,0,legitimate
0,0,1,0,0,0,0,56,26,2,2,0,0,0,0,5,1,0,0.0,0.0,2,2,6,4,3,3,3,18,18,6,6.333333333,10.5,4.25,0,legitimate
0,0,0,0,0,0,0,25,16,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,3,3,3,0,8,8,0,5.5,5.5,0.0,0,legitimate
0,1,1,0,0,0,0,106,25,3,7,0,0,0,0,6,1,1,0.009433962,0.0,3,4,14,8,2,3,2,17,11,17,5.857142857,6.333333333,5.727272727,0,legitimate
0,1,1,0,0,0,0,41,17,2,1,0,0,0,0,5,1,0,0.0,0.0,2,0,5,3,2,3,2,10,10,7,5.2,6.5,4.333333333,2,phishing
0,0,0,0,1,0,0,44,16,2,0,0,0,0,0,4,0,0,0.0,0.0,2,0,4,0,2,2,4,14,9,14,7.25,5.5,9.0,0,legitimate
0,1,0,0,0,0,0,34,12,3,0,0,0,0,0,4,1,0,0.058823529,0.0,3,0,5,4,3,3,4,4,4,4,3.8,3.5,4.0,0,legitimate
0,0,0,0,0,0,0,41,16,1,0,0,0,0,0,5,0,0,0.0,0.0,1,3,4,1,3,12,3,12,12,7,6.5,12.0,4.666666667,0,phishing
1,0,0,0,0,0,0,49,17,2,0,1,0,1,0,3,1,0,0.204081633,0.0,2,1,5,5,3,3,5,10,9,10,6.6,6.0,7.0,0,legitimate
1,0,1,1,0,0,0,140,33,2,1,1,0,1,3,7,0,1,0.071428571,0.212121212,2,1,13,4,1,2,1,31,15,31,8.769230769,9.0,8.7,0,phishing
0,0,0,0,0,0,0,61,20,2,0,0,0,0,0,9,0,0,0.0,0.0,2,0,7,0,1,13,1,13,13,7,5.571428571,13.0,4.333333333,2,phishing
0,0,0,1,0,0,0,73,41,7,2,0,0,0,0,6,0,0,0.04109589,0.073170732,3,0,10,3,1,1,1,9,9,6,4.8,5.333333333,4.0,1,phishing
0,0,0,0,0,0,0,35,17,2,0,0,0,0,0,4,0,0,0.0,0.0,2,0,4,0,2,2,4,10,10,4,5.0,6.0,4.0,0,legitimate
0,0,1,0,0,0,0,23,14,2,1,0,0,0,0,3,0,0,0.0,0.0,2,0,2,0,3,3,0,4,4,0,3.5,3.5,0.0,0,legitimate
0,1,0,0,0,0,0,74,17,3,0,0,0,0,3,5,1,0,0.0,0.0,3,1,9,5,1,3,1,10,9,10,6.111111111,6.0,6.142857143,0,legitimate
0,0,0,0,0,0,0,29,20,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,3,3,3,0,12,12,0,7.5,7.5,0.0,1,legitimate
0,0,1,0,0,0,0,77,20,2,1,0,0,0,0,7,0,0,0.051948052,0.0,2,1,7,1,2,13,2,16,13,16,8.0,13.0,7.166666667,4,phishing
0,1,0,1,0,0,0,18,4,1,0,0,0,0,0,3,0,0,0.055555556,0.0,1,0,2,0,1,1,6,6,1,6,3.5,1.0,6.0,0,phishing
0,1,0,0,0,0,0,19,11,2,0,0,0,0,0,3,0,0,0.0,0.0,2,0,2,0,3,3,0,4,4,0,3.5,3.5,0.0,0,phishing
0,0,1,0,0,0,0,147,13,9,1,2,0,2,1,10,0,0,0.040816327,0.0,3,0,21,3,1,3,1,19,5,19,5.333333333,4.0,5.473684211,0,phishing
0,0,0,0,0,0,0,87,24,2,5,0,0,0,0,4,0,1,0.068965517,0.0,2,0,9,4,2,9,2,10,10,10,7.444444444,9.5,6.857142857,0,legitimate
0,0,0,0,0,0,0,416,16,2,1,0,0,0,0,4,0,0,0.122596154,0.0,2,0,4,8,3,3,6,383,8,383,100.0,5.5,194.5,1,phishing
0,1,1,0,1,0,0,71,15,3,1,0,0,0,0,7,1,0,0.0,0.0,3,2,9,4,3,3,4,8,7,8,5.777777778,5.0,6.0,1,legitimate
0,1,0,0,0,0,0,37,17,3,0,0,0,0,0,4,1,0,0.027027027,0.0,3,1,5,5,1,3,1,9,9,7,4.4,6.0,3.333333333,0,legitimate
0,1,0,0,0,0,0,128,15,3,1,1,2,2,7,4,0,0,0.03125,0.0,3,0,16,1,1,5,1,15,6,15,6.3125,5.5,6.428571429,0,phishing
0,0,0,0,0,0,0,77,17,2,0,1,3,4,0,3,0,0,0.064935065,0.0,2,0,11,1,3,13,3,13,13,7,5.0,13.0,4.2,0,phishing
0,1,0,0,0,0,0,85,27,2,0,0,0,0,1,9,0,0,0.0,0.0,2,0,10,1,2,23,2,23,23,9,6.5,23.0,4.666666667,0,phishing
0,1,0,0,0,0,0,54,16,2,0,0,0,0,3,4,0,0,0.0,0.0,2,1,7,1,3,5,3,9,6,9,5.142857143,5.5,5.0,0,legitimate
0,0,0,0,0,0,0,27,18,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,4,3,3,0,10,10,0,6.5,6.5,0.0,0,legitimate
0,0,0,0,0,0,0,57,20,3,0,0,0,0,0,5,0,0,0.01754386,0.0,3,1,5,1,3,14,3,14,14,10,7.8,14.0,6.25,1,phishing
0,0,0,0,0,0,0,31,22,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,3,3,3,0,15,15,0,9.0,9.0,0.0,0,legitimate
0,1,0,0,0,0,0,17,9,2,0,0,0,0,0,3,1,0,0.0,0.0,2,1,2,3,2,2,0,3,3,0,2.5,2.5,0.0,0,legitimate
0,0,0,0,0,0,0,42,20,3,2,0,0,0,0,4,1,0,0.0,0.0,3,1,6,6,2,2,2,9,9,4,4.0,4.666666667,3.333333333,0,legitimate
0,0,0,0,0,0,0,20,11,1,0,0,0,0,0,3,0,0,0.0,0.0,1,0,1,0,7,7,0,7,7,0,7.0,7.0,0.0,0,phishing
0,1,0,0,0,0,0,26,18,2,0,0,0,0,0,3,0,0,0.0,0.0,2,0,2,0,5,5,0,8,8,0,6.5,6.5,0.0,0,phishing
0,1,0,0,0,0,0,69,61,7,0,0,0,0,0,3,0,1,0.057971014,0.06557377,3,0,7,6,3,3,0,16,16,0,7.428571429,7.428571429,0.0,0,phishing
1,0,1,0,0,0,0,126,50,4,1,1,2,3,2,5,0,1,0.126984127,0.0,3,0,12,2,2,3,2,17,13,17,8.25,8.4,8.142857143,0,phishing
1,1,1,0,0,0,0,127,50,4,1,1,2,3,2,5,0,1,0.118110236,0.0,3,0,13,8,2,3,2,17,13,17,7.769230769,8.4,7.375,0,phishing
0,0,0,0,0,0,0,71,7,3,2,1,0,1,0,5,0,0,0.014084507,0.0,3,0,9,1,2,4,2,10,4,10,5.555555556,4.0,5.75,0,phishing
0,0,1,0,0,0,0,28,19,2,1,0,0,0,0,3,1,0,0.0,0.0,2,0,3,3,1,1,0,9,9,0,4.333333333,4.333333333,0.0,0,legitimate
0,1,0,0,0,0,0,28,20,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,3,3,3,0,12,12,0,7.5,7.5,0.0,0,legitimate
0,0,0,0,0,0,0,35,15,2,0,0,0,0,0,5,1,0,0.085714286,0.0,2,0,4,4,3,3,3,8,8,6,5.0,5.5,4.5,0,phishing
0,0,1,1,1,0,0,37,28,2,1,0,0,0,0,3,0,0,0.0,0.0,2,0,3,1,7,7,0,8,8,0,7.333333333,7.333333333,0.0,0,phishing
0,0,0,0,0,0,0,30,21,2,0,0,0,0,0,3,1,0,0.0,0.0,2,0,2,3,3,3,0,13,13,0,8.0,8.0,0.0,0,legitimate
1,1,1,0,0,0,0,98,26,2,2,0,0,0,0,9,1,0,0.255102041,0.0,2,2,10,7,2,3,2,32,10,32,7.8,7.0,8.142857143,2,phishing
0,1,0,0,0,0,0,65,21,2,5,0,0,0,0,4,1,0,0.0,0.0,2,1,8,6,3,3,3,13,13,9,5.75,8.0,5.0,0,legitimate
1,1,0,0,0,0,0,77,23,1,0,0,0,0,0,5,0,0,0.311688312,0.0,1,1,4,3,2,19,2,32,19,32,15.75,19.0,14.66666667,0,phishing
0,1,0,0,0,0,0,44,22,2,0,0,0,0,0,4,0,0,0.045454545,0.090909091,2,0,3,3,5,5,13,13,12,13,10.0,8.5,13.0,0,phishing
0,0,0,0,0,0,0,68,18,2,3,0,0,0,0,5,1,0,0.073529412,0.0,2,0,8,6,3,3,3,10,10,10,6.125,6.5,6.0,0,legitimate
0,1,0,0,0,0,2,43,35,2,0,0,0,0,0,3,0,0,0.0,0.0,2,1,2,2,11,11,0,19,19,0,15.0,15.0,0.0,1,phishing
0,1,0,0,0,0,0,18,11,1,0,0,0,0,0,2,0,0,0.0,0.0,1,0,1,0,8,8,0,8,8,0,8.0,8.0,0.0,0,legitimate
0,0,1,0,0,0,0,73,24,3,1,0,0,0,5,5,0,0,0.0,0.0,3,1,12,1,1,4,1,8,8,7,4.166666667,6.0,3.555555556,0,legitimate
0,0,0,0,0,0,0,57,21,2,0,0,0,0,1,4,0,1,0.0,0.0,2,0,6,1,4,7,4,9,9,8,6.666666667,8.0,6.0,0,legitimate
0,1,0,0,0,0,0,35,18,2,0,0,0,0,0,4,1,0,0.0,0.0,2,2,4,4,3,3,3,10,10,5,5.25,6.5,4.0,0,phishing
0,1,0,0,0,0,0,415,16,2,1,0,0,0,0,4,0,0,0.125301205,0.0625,2,1,4,7,1,1,6,383,10,383,100.0,5.5,194.5,0,phishing
0,0,0,0,0,0,0,24,15,1,0,0,0,0,0,3,0,0,0.0,0.0,1,0,1,0,12,12,0,12,12,0,12.0,12.0,0.0,0,legitimate
0,1,0,1,0,0,0,262,213,13,0,0,0,0,0,6,0,1,0.148854962,0.159624413,3,0,17,6,3,5,3,29,29,15,13.76470588,16.5,7.2,1,phishing
0,1,0,0,0,0,0,80,72,2,2,0,0,0,0,3,0,1,0.0,0.0,2,0,4,3,5,5,0,43,43,0,16.25,16.25,0.0,0,phishing
0,1,0,1,1,0,0,35,27,2,0,0,0,0,0,3,0,0,0.0,0.0,2,0,2,0,8,8,0,14,14,0,11.0,11.0,0.0,0,legitimate
